Date,Site ,Habitat,Plot ,Replicate,ID,EC_ms/cm_2023,Salinity_ppt
8/1/23,Brownsville,H,0,A,BVL_H_0_A,9.99,0.47
8/1/23,Brownsville,H,0,B,BVL_H_0_B,1.046,0.52
8/1/23,Brownsville,H,1,A,BVL_H_1_A,4.47,2.23
8/1/23,Brownsville,H,1,B,BVL_H_1_B,1.178,0.59
8/1/23,Brownsville,H,1,C,BVL_H_1_C,1.295,0.63
8/1/23,Brownsville,H,2,A,BVL_H_2_A,2.72,1.39
8/1/23,Brownsville,H,2,B,BVL_H_2_B,2.07,1.11
8/1/23,Brownsville,H,3,A,BVL_H_3_A,3.05,1.55
8/1/23,Brownsville,H,3,B,BVL_H_3_B,2.42,1.22
8/1/23,Brownsville,H,5,A,BVL_H_5_A,2.11,1.05
8/1/23,Brownsville,H,5,B,BVL_H_5_B,2.44,1.23
8/1/23,Brownsville,H,6,A,BVL_H_6_A,2.1,4.26
8/1/23,Brownsville,H,6,B,BVL_H_6_B,5.52,2.75
8/1/23,Brownsville,H,7,A,BVL_H_7_A,2.4,1.2
8/1/23,Brownsville,H,7,B,BVL_H_7_B,2.05,1.02
8/1/23,Brownsville,H,7,C,BVL_H_7_C,2.1,1.14
8/1/23,Brownsville,H,,C,BVL_H__C,2.35,1.18
8/1/23,Brownsville,L,0,A,BVL_L_0_A,19.82,9.89
8/1/23,Brownsville,L,0,B,BVL_L_0_B,12.96,6.46
8/1/23,Brownsville,L,0,C,BVL_L_0_C,13.17,6.62
8/1/23,Brownsville,L,1,A,BVL_L_1_A,10.99,5.43
8/1/23,Brownsville,L,1,B,BVL_L_1_B,15.98,7.97
8/1/23,Brownsville,L,1,C,BVL_L_1_C,10.81,5.38
8/1/23,Brownsville,L,2,A,BVL_L_2_A,16.05,8
8/1/23,Brownsville,L,2,B,BVL_L_2_B,11.82,5.79
8/1/23,Brownsville,L,2,C,BVL_L_2_C,26.52,13.17
8/1/23,Brownsville,L,3,A,BVL_L_3_A,14.27,7.1
8/1/23,Brownsville,L,3,B,BVL_L_3_B,10.5,5.23
8/1/23,Brownsville,L,3,C,BVL_L_3_C,10.85,5.37
8/1/23,Brownsville,L,4,A,BVL_L_4_A,5.5,2.77
8/1/23,Brownsville,L,4,B,BVL_L_4_B,8.65,4.31
8/1/23,Brownsville,L,4,C,BVL_L_4_C,11.28,5.63
8/1/23,Brownsville,L,5,A,BVL_L_5_A,6.8,3.43
8/1/23,Brownsville,L,5,B,BVL_L_5_B,11.1,5.55
8/1/23,Brownsville,L,5,C,BVL_L_5_C,7.72,3.84
8/1/23,Brownsville,L,6,A,BVL_L_6_A,12.5,6.29
8/1/23,Brownsville,L,6,B,BVL_L_6_B,15.2,7.6
8/1/23,Brownsville,L,6,B,BVL_L_6_B,10.6,7.47
8/1/23,Brownsville,L,7,A,BVL_L_7_A,10.9,5.04
8/1/23,Brownsville,L,7,B,BVL_L_7_B,8.21,4.2
8/1/23,Brownsville,L,7,C,BVL_L_7_C,12.5,6.3
8/1/23,Brownsville,M,0,A,BVL_M_0_A,3.2,1.61
8/1/23,Brownsville,M,0,B,BVL_M_0_B,2.71,1.33
8/1/23,Brownsville,M,1,A,BVL_M_1_A,6.26,3.11
8/1/23,Brownsville,M,1,B,BVL_M_1_B,8.28,4.12
8/1/23,Brownsville,M,1,C,BVL_M_1_C,NA,NA
8/1/23,Brownsville,M,1,D,BVL_M_1_D,2.24,0.64
8/1/23,Brownsville,M,2,A,BVL_M_2_A,6.4,3.26
8/1/23,Brownsville,M,2,B,BVL_M_2_B,4.6,2.24
8/1/23,Brownsville,M,2,C,BVL_M_2_C,7.52,3.73
8/1/23,Brownsville,M,3,A,BVL_M_3_A,7.24,3.59
8/1/23,Brownsville,M,3,B,BVL_M_3_B,9.31,4.64
8/1/23,Brownsville,M,3,C,BVL_M_3_C,10.28,5.05
8/1/23,Brownsville,M,4,A,BVL_M_4_A,5.94,2.96
8/1/23,Brownsville,M,4,B,BVL_M_4_B,5.99,3.05
8/1/23,Brownsville,M,4,C,BVL_M_4_C,4.5,2.25
8/1/23,Brownsville,M,5,A,BVL_M_5_A,11.97,5.98
8/1/23,Brownsville,M,5,C,BVL_M_5_C,5.1,2.54
8/1/23,Brownsville,M,6,A,BVL_M_6_A,4.64,2.3
8/1/23,Brownsville,M,6,B,BVL_M_6_B,7.1,3.63
8/1/23,Brownsville,M,6,C,BVL_M_6_C,5.2,2.65
8/1/23,Brownsville,M,7,A,BVL_M_7_A,8.05,4.01
8/1/23,Brownsville,M,7,B,BVL_M_7_B,5.55,2.77
8/1/23,Brownsville,M,7,C,BVL_M_7_C,9.02,4.62
8/1/23,Brownsville,H,2,C,BVL_H_2_C,2.44,1.21
8/1/23,Brownsville,H,3,C,BVL_H_3_C,3.01,1.55
8/1/23,Brownsville,M,5,B,BVL_M_5_B,9.18,4.58
8/1/23,Brownsville,H,0,C,BVL_H_0_C,2.48,1.24
8/1/23,Brownsville,H,1,D,BVL_H_1_D,0.997,0.5
8/1/23,Brownsville,H,4,A,NA,NA,NA